Serial_No,order_id,customer_id,order_date,Month,Category,total_amount,status,region,payment_method,Revenue_Check(IF),Region_VLookup
4109,4297,8978,2023-11-21,2023-11,South,"1,257.75",Completed,South,Debit Card,Valid,South
4110,4339,9005,2023-11-21,2023-11,Central,"3,365.04",Completed,Central,Debit Card,Valid,Central
4111,501,7638,2023-11-22,2023-11,East,428.44,Completed,East,Credit Card,Valid,East
4112,619,436,2023-11-22,2023-11,South,711.25,Completed,South,Credit Card,Valid,South
4113,712,7825,2023-11-22,2023-11,South,"4,831.77",Completed,South,Credit Card,Valid,South
4114,778,8487,2023-11-22,2023-11,East,526.08,Completed,East,Debit Card,Valid,East
4115,864,7922,2023-11-22,2023-11,East,274.33,Completed,East,Apple Pay,Valid,East
4116,1078,7781,2023-11-22,2023-11,West,105.06,Cancelled,West,Credit Card,Valid,West
4117,1168,2219,2023-11-22,2023-11,South,"2,814.99",Completed,South,Apple Pay,Valid,South
4118,1177,4220,2023-11-22,2023-11,Central,"1,103.78",Completed,Central,Apple Pay,Valid,Central
4119,1255,2196,2023-11-22,2023-11,West,"1,041.67",Completed,West,Credit Card,Valid,West
4120,1282,6106,2023-11-22,2023-11,South,434.69,Completed,South,Credit Card,Valid,South
4121,2018,1508,2023-11-22,2023-11,East,"1,359.06",Completed,East,Credit Card,Valid,East
4122,2154,6010,2023-11-22,2023-11,North,401.82,Completed,North,Apple Pay,Valid,North
4123,2622,626,2023-11-22,2023-11,South,"1,293.36",Completed,South,Debit Card,Valid,South
4124,2882,97,2023-11-22,2023-11,South,"4,712.42",Completed,South,Debit Card,Valid,South
4125,3514,5508,2023-11-22,2023-11,Central,"1,364.93",Completed,Central,Apple Pay,Valid,Central
4126,3649,5389,2023-11-22,2023-11,West,278.93,Completed,West,Apple Pay,Valid,West
4127,3774,8515,2023-11-22,2023-11,West,"2,601.08",Completed,West,PayPal,Valid,West
4128,4516,4370,2023-11-22,2023-11,North,417.80,Completed,North,Credit Card,Valid,North
4129,4734,2342,2023-11-22,2023-11,West,384.94,Completed,West,PayPal,Valid,West
4130,4816,5358,2023-11-22,2023-11,East,883.58,Completed,East,Credit Card,Valid,East
4131,4993,3110,2023-11-22,2023-11,Central,140.70,Completed,Central,Credit Card,Valid,Central
4132,37,5023,2023-11-23,2023-11,South,678.18,Completed,South,PayPal,Valid,South
4133,530,7712,2023-11-23,2023-11,West,282.13,Completed,West,PayPal,Valid,West
4134,667,7286,2023-11-23,2023-11,South,899.20,Completed,South,Credit Card,Valid,South
4135,681,523,2023-11-23,2023-11,West,"1,634.40",Completed,West,Credit Card,Valid,West
4136,806,5073,2023-11-23,2023-11,South,290.79,Completed,South,PayPal,Valid,South
4137,945,1374,2023-11-23,2023-11,West,906.62,Completed,West,Apple Pay,Valid,West
4138,2042,6766,2023-11-23,2023-11,East,154.28,Completed,East,PayPal,Valid,East
4139,2242,2196,2023-11-23,2023-11,West,784.90,Completed,West,Credit Card,Valid,West
4140,2792,8670,2023-11-23,2023-11,South,965.83,Completed,South,PayPal,Valid,South
4141,2926,561,2023-11-23,2023-11,Central,"1,128.91",Completed,Central,Apple Pay,Valid,Central
4142,2983,1853,2023-11-23,2023-11,South,"1,832.01",Completed,South,Credit Card,Valid,South
4143,3044,9012,2023-11-23,2023-11,Central,"1,257.96",Completed,Central,Credit Card,Valid,Central
4144,3222,6987,2023-11-23,2023-11,North,284.14,Cancelled,North,Credit Card,Valid,North
4145,3591,8963,2023-11-23,2023-11,South,"2,590.37",Completed,South,PayPal,Valid,South
4146,3620,5828,2023-11-23,2023-11,West,"2,555.85",Completed,West,Debit Card,Valid,West
4147,3713,4449,2023-11-23,2023-11,Central,"2,532.74",Completed,Central,PayPal,Valid,Central
4148,3736,5976,2023-11-23,2023-11,East,"2,585.61",Completed,East,Apple Pay,Valid,East
4149,4163,9729,2023-11-23,2023-11,South,"1,438.06",Completed,South,Apple Pay,Valid,South
4150,4480,2255,2023-11-23,2023-11,South,"1,094.36",Completed,South,Debit Card,Valid,South
4151,4812,3997,2023-11-23,2023-11,East,642.69,Completed,East,Debit Card,Valid,East
4152,107,8857,2023-11-24,2023-11,East,164.76,Completed,East,Apple Pay,Valid,East
4153,109,7569,2023-11-24,2023-11,East,250.59,Completed,East,Apple Pay,Valid,East
4154,152,3032,2023-11-24,2023-11,West,391.53,Completed,West,PayPal,Valid,West
4155,260,7308,2023-11-24,2023-11,Central,"2,044.15",Completed,Central,Debit Card,Valid,Central
4156,492,9583,2023-11-24,2023-11,East,835.33,Completed,East,Apple Pay,Valid,East
4157,704,6901,2023-11-24,2023-11,South,422.21,Completed,South,Credit Card,Valid,South
4158,739,2533,2023-11-24,2023-11,East,260.57,Completed,East,Debit Card,Valid,East
4159,802,90,2023-11-24,2023-11,East,"2,318.19",Completed,East,Debit Card,Valid,East
4160,1026,3183,2023-11-24,2023-11,South,"1,411.03",Completed,South,Debit Card,Valid,South
4161,1569,1047,2023-11-24,2023-11,North,325.76,Completed,North,PayPal,Valid,North
4162,1738,6174,2023-11-24,2023-11,South,"1,876.13",Completed,South,PayPal,Valid,South
4163,1859,9139,2023-11-24,2023-11,West,485.89,Completed,West,Apple Pay,Valid,West
4164,1916,9010,2023-11-24,2023-11,Central,"2,912.38",Completed,Central,PayPal,Valid,Central
4165,2060,3740,2023-11-24,2023-11,South,"1,009.92",Completed,South,Debit Card,Valid,South
4166,2178,4437,2023-11-24,2023-11,Central,345.32,Completed,Central,Debit Card,Valid,Central
4167,2495,1759,2023-11-24,2023-11,West,120.27,Completed,West,PayPal,Valid,West
4168,2559,5613,2023-11-24,2023-11,Central,"1,550.33",Completed,Central,Credit Card,Valid,Central
4169,2696,1169,2023-11-24,2023-11,East,"1,099.91",Completed,East,Apple Pay,Valid,East
4170,2732,5302,2023-11-24,2023-11,East,406.33,Completed,East,PayPal,Valid,East
4171,2826,2781,2023-11-24,2023-11,West,"1,872.65",Completed,West,Credit Card,Valid,West
4172,2919,5065,2023-11-24,2023-11,Central,"2,005.04",Completed,Central,Debit Card,Valid,Central
4173,2962,1682,2023-11-24,2023-11,West,777.27,Completed,West,Credit Card,Valid,West
4174,3443,8234,2023-11-24,2023-11,East,"2,379.81",Completed,East,Debit Card,Valid,East
4175,3504,8046,2023-11-24,2023-11,South,931.71,Completed,South,Debit Card,Valid,South
4176,3668,6846,2023-11-24,2023-11,East,"1,600.46",Completed,East,Debit Card,Valid,East
4177,3708,9178,2023-11-24,2023-11,South,"3,444.19",Completed,South,Debit Card,Valid,South
4178,3775,6526,2023-11-24,2023-11,East,159.37,Completed,East,Debit Card,Valid,East
4179,3797,3397,2023-11-24,2023-11,East,"2,629.75",Completed,East,Apple Pay,Valid,East
4180,3840,7172,2023-11-24,2023-11,North,"1,217.91",Completed,North,PayPal,Valid,North
4181,3848,232,2023-11-24,2023-11,Central,"1,064.28",Completed,Central,PayPal,Valid,Central
4182,4025,8860,2023-11-24,2023-11,South,442.46,Completed,South,Debit Card,Valid,South
4183,4248,140,2023-11-24,2023-11,Central,"2,853.05",Completed,Central,Credit Card,Valid,Central
4184,4261,3569,2023-11-24,2023-11,Unknown,808.43,Completed,Unknown,Credit Card,Valid,Unknown
4185,4745,1504,2023-11-24,2023-11,North,"1,855.62",Completed,North,Apple Pay,Valid,North
4186,4968,4759,2023-11-24,2023-11,South,154.02,Completed,South,Credit Card,Valid,South
4187,458,5552,2023-11-25,2023-11,Unknown,"1,651.23",Completed,Unknown,PayPal,Valid,Unknown
4188,537,1674,2023-11-25,2023-11,South,436.20,Completed,South,Credit Card,Valid,South
4189,1141,4602,2023-11-25,2023-11,North,907.95,Completed,North,Debit Card,Valid,North
4190,1439,6955,2023-11-25,2023-11,Central,"1,008.02",Completed,Central,Debit Card,Valid,Central
4191,1464,590,2023-11-25,2023-11,North,"1,504.74",Completed,North,Debit Card,Valid,North
4192,1519,6165,2023-11-25,2023-11,North,208.24,Completed,North,Debit Card,Valid,North
4193,1631,461,2023-11-25,2023-11,Central,"2,142.94",Completed,Central,Apple Pay,Valid,Central
4194,2171,9871,2023-11-25,2023-11,West,901.51,Completed,West,Credit Card,Valid,West
4195,2842,2485,2023-11-25,2023-11,East,82.03,Completed,East,PayPal,Valid,East
4196,2935,8165,2023-11-25,2023-11,East,480.36,Completed,East,Apple Pay,Valid,East
4197,3628,8906,2023-11-25,2023-11,North,366.31,Completed,North,PayPal,Valid,North
4198,3878,4536,2023-11-25,2023-11,North,"4,404.05",Completed,North,Apple Pay,Valid,North
4199,3984,4751,2023-11-25,2023-11,East,"1,836.52",Completed,East,Debit Card,Valid,East
4200,4122,987,2023-11-25,2023-11,East,183.34,Completed,East,Credit Card,Valid,East
4201,4313,4341,2023-11-25,2023-11,East,"3,473.41",Completed,East,Debit Card,Valid,East
4202,4546,5368,2023-11-25,2023-11,South,401.39,Completed,South,Credit Card,Valid,South
4203,4640,1746,2023-11-25,2023-11,West,579.60,Completed,West,Apple Pay,Valid,West
4204,4669,1078,2023-11-25,2023-11,East,"1,086.72",Completed,East,Credit Card,Valid,East
4205,4693,4340,2023-11-25,2023-11,East,447.27,Completed,East,PayPal,Valid,East
4206,4946,5804,2023-11-25,2023-11,East,"2,179.37",Completed,East,PayPal,Valid,East
4207,314,6036,2023-11-26,2023-11,East,"1,852.79",Completed,East,Credit Card,Valid,East
4208,413,1252,2023-11-26,2023-11,South,"2,731.92",Completed,South,Debit Card,Valid,South
4209,559,2724,2023-11-26,2023-11,East,"1,676.48",Completed,East,Apple Pay,Valid,East
4210,607,9935,2023-11-26,2023-11,South,"2,178.00",Completed,South,Apple Pay,Valid,South
4211,842,3134,2023-11-26,2023-11,South,812.58,Completed,South,Apple Pay,Valid,South
4212,961,3444,2023-11-26,2023-11,North,"2,010.32",Completed,North,Debit Card,Valid,North
4213,1242,9106,2023-11-26,2023-11,East,278.93,Completed,East,Apple Pay,Valid,East
4214,1734,9376,2023-11-26,2023-11,South,"1,412.89",Completed,South,Debit Card,Valid,South
4215,1781,2682,2023-11-26,2023-11,West,782.40,Completed,West,Credit Card,Valid,West
4216,2049,4291,2023-11-26,2023-11,East,157.92,Completed,East,Debit Card,Valid,East
4217,2459,707,2023-11-26,2023-11,Central,"2,401.34",Completed,Central,Debit Card,Valid,Central
4218,2693,3506,2023-11-26,2023-11,West,260.61,Completed,West,Apple Pay,Valid,West
4219,2770,6902,2023-11-26,2023-11,West,"1,255.42",Completed,West,Apple Pay,Valid,West
4220,2847,3764,2023-11-26,2023-11,North,"1,431.35",Completed,North,Apple Pay,Valid,North
4221,3629,2109,2023-11-26,2023-11,East,883.62,Completed,East,Debit Card,Valid,East
4222,3870,4040,2023-11-26,2023-11,Central,884.92,Completed,Central,Apple Pay,Valid,Central
4223,4345,9727,2023-11-26,2023-11,North,159.37,Completed,North,Debit Card,Valid,North
4224,556,8300,2023-11-27,2023-11,West,647.36,Completed,West,PayPal,Valid,West
4225,655,7513,2023-11-27,2023-11,East,"1,604.28",Completed,East,Credit Card,Valid,East
4226,920,9683,2023-11-27,2023-11,East,515.58,Completed,East,Apple Pay,Valid,East
4227,924,1690,2023-11-27,2023-11,Central,"3,267.09",Completed,Central,Apple Pay,Valid,Central
4228,984,5635,2023-11-27,2023-11,West,395.80,Completed,West,Credit Card,Valid,West
4229,1206,3841,2023-11-27,2023-11,South,305.06,Completed,South,Apple Pay,Valid,South
4230,1332,2311,2023-11-27,2023-11,South,284.14,Completed,South,PayPal,Valid,South
4231,1789,182,2023-11-27,2023-11,East,745.67,Completed,East,Apple Pay,Valid,East
4232,1875,7099,2023-11-27,2023-11,West,"1,105.31",Completed,West,Apple Pay,Valid,West
4233,2033,2641,2023-11-27,2023-11,South,"1,112.54",Completed,South,Apple Pay,Valid,South
4234,2036,7656,2023-11-27,2023-11,South,"2,089.60",Completed,South,Apple Pay,Valid,South
4235,2222,7270,2023-11-27,2023-11,East,"1,448.85",Returned,East,Credit Card,Valid,East
4236,2384,6688,2023-11-27,2023-11,North,"2,383.08",Completed,North,Credit Card,Valid,North
4237,2478,9644,2023-11-27,2023-11,Central,"1,810.33",Completed,Central,PayPal,Valid,Central
4238,3545,8270,2023-11-27,2023-11,North,"5,989.26",Completed,North,Apple Pay,Valid,North
4239,3820,1031,2023-11-27,2023-11,South,579.60,Completed,South,PayPal,Valid,South
4240,4198,1207,2023-11-27,2023-11,South,"1,213.16",Completed,South,Credit Card,Valid,South
4241,4246,1485,2023-11-27,2023-11,East,"3,806.01",Completed,East,PayPal,Valid,East
4242,4477,2720,2023-11-27,2023-11,West,"3,356.12",Cancelled,West,Debit Card,Valid,West
4243,4786,157,2023-11-27,2023-11,South,"3,702.27",Completed,South,Credit Card,Valid,South
4244,344,7269,2023-11-28,2023-11,North,382.42,Completed,North,Apple Pay,Valid,North
4245,463,7074,2023-11-28,2023-11,South,201.88,Completed,South,Debit Card,Valid,South
4246,539,557,2023-11-28,2023-11,South,714.65,Completed,South,PayPal,Valid,South
4247,568,8762,2023-11-28,2023-11,South,"1,757.60",Completed,South,Credit Card,Valid,South
4248,746,2016,2023-11-28,2023-11,North,798.94,Completed,North,PayPal,Valid,North
4249,900,4086,2023-11-28,2023-11,South,627.30,Completed,South,Debit Card,Valid,South
4250,1097,1308,2023-11-28,2023-11,West,290.79,Completed,West,Apple Pay,Valid,West
4251,1428,8560,2023-11-28,2023-11,South,240.57,Completed,South,Debit Card,Valid,South
4252,1574,9555,2023-11-28,2023-11,East,"1,173.06",Completed,East,PayPal,Valid,East
4253,1791,4608,2023-11-28,2023-11,East,"1,570.63",Completed,East,Credit Card,Valid,East
4254,1803,6506,2023-11-28,2023-11,North,545.46,Completed,North,Apple Pay,Valid,North
4255,2165,1396,2023-11-28,2023-11,West,"4,208.31",Completed,West,PayPal,Valid,West
4256,2271,4055,2023-11-28,2023-11,East,"1,655.94",Completed,East,PayPal,Valid,East
4257,2283,7177,2023-11-28,2023-11,East,"1,336.07",Completed,East,Apple Pay,Valid,East
4258,2509,1250,2023-11-28,2023-11,West,538.64,Completed,West,PayPal,Valid,West
4259,2710,8633,2023-11-28,2023-11,East,971.04,Completed,East,Credit Card,Valid,East
4260,2789,7261,2023-11-28,2023-11,South,"1,181.06",Completed,South,Apple Pay,Valid,South
4261,2984,3132,2023-11-28,2023-11,Central,"3,762.62",Completed,Central,PayPal,Valid,Central
4262,3105,1974,2023-11-28,2023-11,Central,"1,074.60",Completed,Central,PayPal,Valid,Central
4263,3148,8520,2023-11-28,2023-11,South,901.51,Completed,South,Debit Card,Valid,South
4264,3201,9090,2023-11-28,2023-11,East,"1,098.42",Completed,East,PayPal,Valid,East
4265,3266,9732,2023-11-28,2023-11,East,250.59,Completed,East,Debit Card,Valid,East
4266,3301,5504,2023-11-28,2023-11,North,627.30,Completed,North,Debit Card,Valid,North
4267,3341,2583,2023-11-28,2023-11,Central,"1,071.23",Completed,Central,Credit Card,Valid,Central
4268,3448,1227,2023-11-28,2023-11,Central,157.92,Completed,Central,Credit Card,Valid,Central
4269,3472,4125,2023-11-28,2023-11,South,152.53,Completed,South,PayPal,Valid,South
4270,3783,4874,2023-11-28,2023-11,North,"2,853.08",Completed,North,Credit Card,Valid,North
4271,3861,9493,2023-11-28,2023-11,West,"1,991.18",Completed,West,PayPal,Valid,West
4272,4145,7875,2023-11-28,2023-11,North,935.74,Completed,North,Credit Card,Valid,North
4273,4205,6585,2023-11-28,2023-11,East,759.97,Completed,East,Debit Card,Valid,East
4274,4568,5608,2023-11-28,2023-11,East,788.31,Completed,East,Apple Pay,Valid,East
4275,4686,5946,2023-11-28,2023-11,West,"1,816.72",Completed,West,Apple Pay,Valid,West
4276,4772,6434,2023-11-28,2023-11,North,"1,840.89",Completed,North,Debit Card,Valid,North
4277,52,2655,2023-11-29,2023-11,East,187.47,Completed,East,PayPal,Valid,East
4278,218,9410,2023-11-29,2023-11,West,870.87,Completed,West,PayPal,Valid,West
4279,317,5999,2023-11-29,2023-11,East,718.56,Completed,East,Debit Card,Valid,East
4280,403,7472,2023-11-29,2023-11,West,207.19,Completed,West,Debit Card,Valid,West
4281,574,600,2023-11-29,2023-11,East,661.14,Completed,East,Debit Card,Valid,East
4282,671,7206,2023-11-29,2023-11,South,414.73,Completed,South,Debit Card,Valid,South
4283,769,4047,2023-11-29,2023-11,West,"2,666.73",Completed,West,Debit Card,Valid,West
4284,944,5257,2023-11-29,2023-11,East,846.39,Completed,East,Credit Card,Valid,East
4285,1402,3808,2023-11-29,2023-11,North,"1,943.24",Completed,North,Debit Card,Valid,North
4286,1460,2665,2023-11-29,2023-11,West,580.00,Completed,West,Credit Card,Valid,West
4287,1510,934,2023-11-29,2023-11,Central,756.96,Completed,Central,PayPal,Valid,Central
4288,1563,1842,2023-11-29,2023-11,West,"1,195.91",Completed,West,PayPal,Valid,West
4289,1643,4158,2023-11-29,2023-11,West,"1,600.17",Completed,West,Credit Card,Valid,West
4290,2105,2424,2023-11-29,2023-11,East,"2,387.53",Completed,East,Debit Card,Valid,East
4291,2148,1137,2023-11-29,2023-11,East,"1,208.39",Completed,East,Credit Card,Valid,East
4292,2947,945,2023-11-29,2023-11,Central,"1,822.78",Completed,Central,Credit Card,Valid,Central
4293,3067,3336,2023-11-29,2023-11,South,"1,895.85",Returned,South,Credit Card,Valid,South
4294,3130,4891,2023-11-29,2023-11,Central,369.17,Completed,Central,PayPal,Valid,Central
4295,3550,1857,2023-11-29,2023-11,Central,411.99,Completed,Central,PayPal,Valid,Central
4296,3785,5969,2023-11-29,2023-11,West,"2,191.24",Completed,West,PayPal,Valid,West
4297,3913,5703,2023-11-29,2023-11,North,201.88,Completed,North,Debit Card,Valid,North
4298,4151,783,2023-11-29,2023-11,West,"1,227.71",Completed,West,Apple Pay,Valid,West
4299,4240,9970,2023-11-29,2023-11,Unknown,628.59,Completed,Unknown,PayPal,Valid,Unknown
4300,4352,4923,2023-11-29,2023-11,Central,"1,802.19",Completed,Central,Apple Pay,Valid,Central
4301,4363,4743,2023-11-29,2023-11,South,"1,334.58",Completed,South,PayPal,Valid,South
4302,4482,2403,2023-11-29,2023-11,East,714.98,Completed,East,Debit Card,Valid,East
4303,4565,6185,2023-11-29,2023-11,Central,"2,625.84",Completed,Central,Apple Pay,Valid,Central
4304,131,5281,2023-11-30,2023-11,East,591.58,Completed,East,Debit Card,Valid,East
4305,142,2426,2023-11-30,2023-11,North,"2,046.36",Completed,North,Debit Card,Valid,North
4306,178,4796,2023-11-30,2023-11,South,"1,321.63",Completed,South,Debit Card,Valid,South
4307,553,6895,2023-11-30,2023-11,North,"2,293.90",Completed,North,Debit Card,Valid,North
4308,674,7903,2023-11-30,2023-11,West,901.51,Completed,West,PayPal,Valid,West
4309,811,2187,2023-11-30,2023-11,East,"1,449.96",Completed,East,Credit Card,Valid,East
4310,875,4051,2023-11-30,2023-11,South,140.76,Completed,South,PayPal,Valid,South
4311,908,4797,2023-11-30,2023-11,West,413.05,Completed,West,Apple Pay,Valid,West
4312,1822,8657,2023-11-30,2023-11,Central,816.93,Completed,Central,PayPal,Valid,Central
4313,2030,7403,2023-11-30,2023-11,South,401.69,Completed,South,Credit Card,Valid,South
4314,2192,716,2023-11-30,2023-11,East,245.09,Completed,East,Debit Card,Valid,East
4315,2261,1535,2023-11-30,2023-11,North,"1,142.08",Cancelled,North,PayPal,Valid,North
4316,2467,976,2023-11-30,2023-11,North,"2,473.42",Completed,North,Debit Card,Valid,North
4317,2651,140,2023-11-30,2023-11,Central,290.79,Returned,Central,Apple Pay,Valid,Central
4318,3223,5899,2023-11-30,2023-11,Central,"1,400.18",Completed,Central,Debit Card,Valid,Central
4319,3282,9281,2023-11-30,2023-11,North,"2,674.63",Completed,North,Debit Card,Valid,North
4320,4483,7409,2023-11-30,2023-11,West,"2,172.65",Completed,West,Apple Pay,Valid,West
4321,4697,3078,2023-11-30,2023-11,South,"1,836.02",Completed,South,Apple Pay,Valid,South
4322,2,5547,2023-12-01,2023-12,Central,758.00,Completed,Central,Debit Card,Valid,Central
4323,1603,1528,2023-12-01,2023-12,South,156.65,Completed,South,Credit Card,Valid,South
4324,2320,5418,2023-12-01,2023-12,East,420.23,Completed,East,Debit Card,Valid,East
4325,2392,9270,2023-12-01,2023-12,East,"1,517.02",Completed,East,PayPal,Valid,East
4326,2714,2341,2023-12-01,2023-12,South,"1,679.58",Returned,South,Credit Card,Valid,South
4327,2733,3826,2023-12-01,2023-12,North,448.66,Completed,North,Apple Pay,Valid,North
4328,2885,459,2023-12-01,2023-12,East,"5,034.93",Completed,East,Credit Card,Valid,East
4329,3056,1352,2023-12-01,2023-12,South,"3,572.74",Completed,South,Apple Pay,Valid,South
4330,3078,9000,2023-12-01,2023-12,South,890.08,Completed,South,Apple Pay,Valid,South
4331,3539,3935,2023-12-01,2023-12,West,"1,262.36",Completed,West,PayPal,Valid,West
4332,3799,663,2023-12-01,2023-12,Central,"2,994.06",Completed,Central,Debit Card,Valid,Central
4333,4007,9623,2023-12-01,2023-12,East,"1,631.91",Completed,East,Credit Card,Valid,East
4334,4220,7284,2023-12-01,2023-12,East,"2,156.22",Completed,East,Credit Card,Valid,East
4335,4520,8684,2023-12-01,2023-12,West,"1,636.91",Completed,West,Debit Card,Valid,West
4336,4645,2321,2023-12-01,2023-12,East,689.20,Completed,East,Apple Pay,Valid,East
4337,4828,445,2023-12-01,2023-12,West,"8,245.36",Completed,West,Apple Pay,Valid,West
4338,4878,8980,2023-12-01,2023-12,East,"1,095.62",Completed,East,Apple Pay,Valid,East
4339,4896,2940,2023-12-01,2023-12,East,"1,077.28",Completed,East,Apple Pay,Valid,East
4340,70,835,2023-12-02,2023-12,Central,543.33,Completed,Central,PayPal,Valid,Central
4341,408,1627,2023-12-02,2023-12,East,613.75,Completed,East,Credit Card,Valid,East
4342,635,1829,2023-12-02,2023-12,East,950.65,Completed,East,Apple Pay,Valid,East
4343,1646,3987,2023-12-02,2023-12,South,439.45,Completed,South,Apple Pay,Valid,South
4344,2456,731,2023-12-02,2023-12,East,548.39,Completed,East,Apple Pay,Valid,East
4345,2878,1912,2023-12-02,2023-12,Central,"1,354.25",Completed,Central,PayPal,Valid,Central
4346,3194,1602,2023-12-02,2023-12,South,658.90,Completed,South,Apple Pay,Valid,South
4347,3252,4713,2023-12-02,2023-12,South,360.28,Completed,South,Apple Pay,Valid,South
4348,3943,7713,2023-12-02,2023-12,South,183.34,Completed,South,PayPal,Valid,South
4349,4593,159,2023-12-02,2023-12,Central,744.50,Completed,Central,PayPal,Valid,Central
4350,4679,1662,2023-12-02,2023-12,Central,336.84,Completed,Central,Debit Card,Valid,Central
4351,30,3505,2023-12-03,2023-12,West,319.84,Completed,West,Debit Card,Valid,West
4352,137,1604,2023-12-03,2023-12,West,"1,686.49",Completed,West,Debit Card,Valid,West
4353,435,3045,2023-12-03,2023-12,East,"1,674.06",Completed,East,Apple Pay,Valid,East
4354,506,5897,2023-12-03,2023-12,West,"1,354.76",Completed,West,Apple Pay,Valid,West
4355,888,6460,2023-12-03,2023-12,Central,"4,547.51",Cancelled,Central,PayPal,Valid,Central
4356,932,4085,2023-12-03,2023-12,South,703.95,Completed,South,PayPal,Valid,South
4357,1035,2928,2023-12-03,2023-12,South,986.13,Completed,South,Apple Pay,Valid,South
4358,1090,9110,2023-12-03,2023-12,North,"1,995.72",Completed,North,Apple Pay,Valid,North
4359,2080,7047,2023-12-03,2023-12,West,274.33,Completed,West,Apple Pay,Valid,West
4360,2923,3218,2023-12-03,2023-12,North,"2,188.34",Completed,North,PayPal,Valid,North
4361,3376,5124,2023-12-03,2023-12,West,256.68,Completed,West,Debit Card,Valid,West
4362,4162,4695,2023-12-03,2023-12,West,"1,442.77",Completed,West,Debit Card,Valid,West
4363,4189,7986,2023-12-03,2023-12,South,719.27,Completed,South,Debit Card,Valid,South
4364,4486,2699,2023-12-03,2023-12,North,"1,696.20",Completed,North,Apple Pay,Valid,North
4365,4705,9833,2023-12-03,2023-12,Central,"2,966.30",Completed,Central,Credit Card,Valid,Central
4366,236,557,2023-12-04,2023-12,South,638.10,Completed,South,PayPal,Valid,South
4367,243,8565,2023-12-04,2023-12,South,"1,767.82",Completed,South,Debit Card,Valid,South
4368,499,8298,2023-12-04,2023-12,East,619.65,Completed,East,PayPal,Valid,East
4369,658,471,2023-12-04,2023-12,North,"3,761.50",Completed,North,Credit Card,Valid,North
4370,926,9755,2023-12-04,2023-12,East,807.22,Completed,East,PayPal,Valid,East
4371,1058,5633,2023-12-04,2023-12,West,"2,148.49",Completed,West,Credit Card,Valid,West
4372,1316,3943,2023-12-04,2023-12,North,521.84,Completed,North,Debit Card,Valid,North
4373,1640,7374,2023-12-04,2023-12,West,395.52,Completed,West,Debit Card,Valid,West
4374,1644,3974,2023-12-04,2023-12,West,"1,367.51",Completed,West,Debit Card,Valid,West
4375,2057,8759,2023-12-04,2023-12,West,"1,995.72",Completed,West,Debit Card,Valid,West
4376,2104,3931,2023-12-04,2023-12,South,826.60,Completed,South,Apple Pay,Valid,South
4377,2147,7790,2023-12-04,2023-12,West,415.09,Completed,West,Apple Pay,Valid,West
4378,2332,1848,2023-12-04,2023-12,North,"1,632.22",Completed,North,Credit Card,Valid,North
4379,2445,4247,2023-12-04,2023-12,South,"2,643.94",Completed,South,PayPal,Valid,South
4380,3243,4710,2023-12-04,2023-12,North,"3,108.81",Completed,North,Apple Pay,Valid,North
4381,3552,2165,2023-12-04,2023-12,South,90.27,Completed,South,Apple Pay,Valid,South
4382,3800,8895,2023-12-04,2023-12,East,"1,008.16",Completed,East,PayPal,Valid,East
4383,3807,7401,2023-12-04,2023-12,West,"2,381.79",Completed,West,Apple Pay,Valid,West
4384,4041,2269,2023-12-04,2023-12,West,255.08,Completed,West,PayPal,Valid,West
4385,4308,6026,2023-12-04,2023-12,Central,"1,132.74",Cancelled,Central,PayPal,Valid,Central
4386,4491,2666,2023-12-04,2023-12,South,548.66,Completed,South,PayPal,Valid,South
4387,4534,6277,2023-12-04,2023-12,West,580.00,Completed,West,Debit Card,Valid,West
4388,4578,7356,2023-12-04,2023-12,Central,"1,397.62",Completed,Central,Apple Pay,Valid,Central
4389,4964,1127,2023-12-04,2023-12,South,"1,321.12",Completed,South,PayPal,Valid,South
4390,104,2478,2023-12-05,2023-12,Central,"1,020.41",Completed,Central,Apple Pay,Valid,Central
4391,191,447,2023-12-05,2023-12,North,"2,440.64",Completed,North,Debit Card,Valid,North
4392,743,3163,2023-12-05,2023-12,West,858.98,Completed,West,Debit Card,Valid,West
4393,947,9370,2023-12-05,2023-12,Central,"1,936.47",Completed,Central,PayPal,Valid,Central
4394,1549,1207,2023-12-05,2023-12,South,589.59,Completed,South,Apple Pay,Valid,South
4395,1731,6378,2023-12-05,2023-12,Central,868.70,Completed,Central,Apple Pay,Valid,Central
4396,1792,7440,2023-12-05,2023-12,North,237.29,Completed,North,PayPal,Valid,North
4397,1795,8810,2023-12-05,2023-12,Central,459.12,Completed,Central,PayPal,Valid,Central
4398,1956,3736,2023-12-05,2023-12,East,284.14,Completed,East,Apple Pay,Valid,East
4399,2099,1605,2023-12-05,2023-12,Central,661.44,Completed,Central,Apple Pay,Valid,Central
4400,2228,3875,2023-12-05,2023-12,North,815.03,Completed,North,Credit Card,Valid,North
4401,2891,5057,2023-12-05,2023-12,North,"1,058.49",Completed,North,PayPal,Valid,North
4402,2912,9713,2023-12-05,2023-12,East,"1,777.25",Completed,East,PayPal,Valid,East
4403,2945,606,2023-12-05,2023-12,West,"3,194.24",Completed,West,Apple Pay,Valid,West
4404,2991,4860,2023-12-05,2023-12,South,"3,057.75",Completed,South,Apple Pay,Valid,South
4405,3642,8465,2023-12-05,2023-12,South,273.77,Completed,South,Apple Pay,Valid,South
